size,class,accuracy,miss,hallucinate
3200,Infared_Sensor,0.49,0.4,0
3200,Keypad,0.36,0.62,0.05
3200,LCD,0.26,0.68,0.03
3200,LED,0.22,0.72,0.01
3200,LED_Matrix,0.07,0.5,0
3200,Number_LED,0.12,0.29,0
3200,Photoresistor,0.1,0.53,0
3200,Potentiometer,0.54,0.35,0.02
3200,Remote,0.05,0.86,0
3200,Resistor,0.95,0.05,0.03
3200,Rheostat,0.65,0.28,0
3200,Servo_Engine,0.65,0.27,0.03
3200,Thermistor,0.24,0.68,0
3200,Tool_Box,0,1,0.01
3200,Tool_Box_Tray,0,1,0.02
3200,UNO_R3,0.1,0.82,0.08
3200,USB_Cable,0,1,0.02
3200,Ultrasonic_Sensor,0.3,0.67,0.14
3200,Wire,0,1,0
